,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
1042,20,3.0,0.0,1.5,1.3,54.0,15,9.0,5.0,15.5,0.0,0.0,0.0,0,0,19,3,12,1,0,0
1043,21,1.0,0.0,0.9,0.1,71.0,15,13.0,2.0,16.7,0.0,0.0,0.0,1,5,16,6,12,1,0,0
1044,25,3.0,1.0,1.5,0.9,81.0,7,18.0,4.0,20.2,0.0,0.0,0.0,0,7,17,5,12,1,0,0
1045,26,2.0,3.0,2.6,1.1,64.0,15,20.0,6.0,16.9,1.0,0.0,0.0,1,13,17,5,12,0,1,0
1046,27,3.0,1.0,2.9,0.4,52.0,15,16.0,5.0,18.0,2.0,1.0,1.0,0,17,19,5,12,1,0,0
1047,29,4.0,1.0,2.4,0.2,74.0,15,19.0,7.0,19.2,1.0,0.0,0.0,0,18,14,6,12,1,0,0
1048,24,3.0,1.0,1.6,1.2,73.0,15,19.0,7.0,19.3,1.0,0.0,0.0,1,4,20,2,12,1,0,0
1049,31,1.0,0.0,0.8,0.5,69.0,15,13.0,2.0,21.2,1.0,0.0,0.0,0,16,15,6,12,1,0,0
1050,0,2.0,0.0,1.7,0.5,58.0,12,17.0,8.0,18.2,1.0,0.0,0.0,0,0,16,6,12,1,0,0
1051,22,1.0,1.0,1.6,1.0,71.0,15,18.0,6.0,18.6,1.0,0.0,0.0,0,19,12,5,12,0,0,1
1052,32,2.0,1.0,2.0,0.5,78.0,9,24.0,8.0,17.5,3.0,0.0,0.0,1,14,17,5,12,1,0,0
1053,33,3.0,0.0,4.8,0.4,64.0,15,28.0,9.0,16.6,1.0,0.0,0.0,1,8,15,5,12,1,0,0
1054,35,2.0,0.0,2.7,0.2,79.0,15,28.0,8.0,15.9,0.0,0.0,0.0,1,4,15,5,12,1,0,0
1055,36,0.0,0.0,1.0,0.4,51.0,12,5.0,2.0,19.1,0.0,0.0,1.0,0,11,16,6,12,0,0,1
1056,1,1.0,0.0,1.6,0.4,51.0,15,13.0,5.0,15.7,1.0,0.0,0.0,0,17,20,0,12,1,0,0
1057,2,6.0,1.0,2.2,2.0,66.0,15,18.0,8.0,15.7,1.0,0.0,0.0,1,16,15,6,12,1,0,0
1058,3,3.0,1.0,1.9,1.1,65.0,15,17.0,5.0,18.8,0.0,0.0,0.0,1,13,16,6,12,1,0,0
1059,4,4.0,0.0,2.7,0.9,69.0,15,9.0,6.0,10.5,0.0,0.0,0.0,0,18,15,5,12,1,0,0
1060,5,3.0,1.0,2.6,0.6,72.0,15,16.0,6.0,14.7,0.0,0.0,0.0,1,2,15,5,12,1,0,0
1061,7,0.0,2.0,0.9,0.6,61.0,15,14.0,4.0,19.7,1.0,0.0,0.0,0,5,17,5,12,0,1,0
1062,8,3.0,1.0,1.7,1.5,67.0,15,13.0,5.0,16.5,0.0,0.0,0.0,1,7,12,5,12,1,0,0
1063,9,2.0,3.0,1.5,0.9,78.0,15,19.0,5.0,18.5,1.0,0.0,0.0,1,6,15,5,12,0,1,0
1064,10,1.0,2.0,1.4,1.3,66.0,15,11.0,4.0,18.7,0.0,0.0,0.0,0,10,15,2,12,0,1,0
1065,12,3.0,1.0,2.5,0.2,76.0,15,14.0,6.0,12.8,0.0,0.0,0.0,0,16,14,6,12,1,0,0
1066,13,2.0,1.0,1.1,1.5,49.0,15,9.0,4.0,21.8,0.0,0.0,0.0,1,11,20,3,12,1,0,0
