,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
35,6,0,2.0,2.0,1.1,1.1,55.0,4,9.0,4.0,16.2,0.0,0.0,0.0,2018-01-01,0,13,20,2,2.333333333333333,1.3333333333333333,17.0,4.0,18.5,0.0,0.3333333333333333,0.3333333333333333,0,0,1,0
36,8,0,2.0,3.0,1.9,1.3,66.0,4,13.0,4.0,18.8,0.0,0.0,0.0,2018-01-01,0,16,13,6,2.6666666666666665,1.6666666666666667,16.666666666666668,4.333333333333333,17.099999999999998,0.0,0.3333333333333333,0.3333333333333333,0,1,0,0
37,10,0,1.0,1.0,0.8,1.1,67.0,8,7.0,4.0,19.4,0.0,0.0,0.0,2018-01-01,0,4,17,2,2.6666666666666665,2.333333333333333,14.333333333333334,4.333333333333333,17.433333333333334,0.0,0.3333333333333333,0.3333333333333333,0,0,1,0
38,12,0,1.0,5.0,1.0,3.8,52.0,12,8.0,2.0,17.0,0.0,0.0,0.0,2018-01-01,0,11,17,5,1.6666666666666667,2.0,9.666666666666666,4.0,18.133333333333336,0.0,0.0,0.0,0,1,0,0
39,13,1,4.0,1.0,4.5,1.4,60.0,4,16.0,8.0,12.0,0.0,0.0,0.0,2018-01-01,1,8,15,1,1.3333333333333333,3.0,9.333333333333334,3.333333333333333,18.4,0.0,0.0,0.0,0,0,0,1
40,14,0,0.0,1.0,0.7,0.6,58.0,4,11.0,2.0,17.3,0.0,0.0,0.0,2018-01-01,0,18,12,5,2.0,2.333333333333333,10.333333333333334,4.666666666666667,16.133333333333336,0.0,0.0,0.0,0,1,0,0
41,15,1,2.0,0.0,1.5,0.9,36.0,8,13.0,5.0,12.7,0.0,0.0,0.0,2018-01-01,1,5,17,5,1.6666666666666667,2.333333333333333,11.666666666666666,4.0,15.433333333333332,0.0,0.0,0.0,0,0,0,1
42,17,0,1.0,3.0,0.7,2.7,41.0,17,4.0,2.0,18.6,0.0,0.0,0.0,2018-01-01,0,12,16,6,2.0,0.6666666666666666,13.333333333333334,5.0,14.0,0.0,0.0,0.0,0,1,0,0
43,19,1,2.0,0.0,2.1,0.8,62.0,12,12.0,4.0,14.1,0.0,0.0,0.0,2018-01-01,1,16,14,6,1.0,1.3333333333333333,9.333333333333334,3.0,16.2,0.0,0.0,0.0,0,0,0,1
44,20,1,5.0,1.0,2.5,0.9,64.0,4,16.0,7.0,15.3,1.0,0.0,0.0,2018-01-01,1,2,19,2,1.6666666666666667,1.0,9.666666666666666,3.6666666666666665,15.133333333333333,0.0,0.0,0.0,0,0,0,1
45,21,0,1.0,1.0,2.6,1.6,40.0,12,8.0,2.0,15.4,0.0,0.0,1.0,2018-01-01,0,17,12,5,2.6666666666666665,1.3333333333333333,10.666666666666666,4.333333333333333,16.000000000000004,0.3333333333333333,0.0,0.0,0,0,1,0
46,23,1,2.0,0.0,1.7,2.3,46.0,3,13.0,1.0,19.4,0.0,1.0,1.0,2018-01-01,1,13,16,6,2.6666666666666665,0.6666666666666666,12.0,4.333333333333333,14.933333333333332,0.3333333333333333,0.0,0.3333333333333333,0,0,0,1
47,25,1,2.0,0.0,0.8,0.1,70.0,4,7.0,3.0,15.6,0.0,0.0,0.0,2018-01-01,1,14,20,0,2.6666666666666665,0.6666666666666666,12.333333333333334,3.333333333333333,16.7,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0,0,1
48,26,0,0.0,1.0,0.3,2.4,57.0,4,7.0,2.0,15.4,0.0,0.0,0.0,2018-01-01,0,7,14,6,1.6666666666666667,0.3333333333333333,9.333333333333334,2.0,16.8,0.0,0.3333333333333333,0.6666666666666666,0,1,0,0
49,28,1,2.0,3.0,1.2,1.6,72.0,3,12.0,5.0,14.9,0.0,0.0,0.0,2018-01-01,1,6,16,6,1.3333333333333333,0.3333333333333333,9.0,2.0,16.8,0.0,0.3333333333333333,0.3333333333333333,0,1,0,0
50,24,0,1.0,3.0,0.8,1.2,70.0,12,11.0,1.0,20.0,1.0,0.0,0.0,2018-01-01,0,19,19,2,1.3333333333333333,1.3333333333333333,8.666666666666666,3.333333333333333,15.3,0.0,0.0,0.0,0,1,0,0
51,29,0,0.0,3.0,0.6,3.3,34.0,17,6.0,1.0,14.9,0.0,0.0,0.0,2018-01-01,0,10,12,6,1.0,2.333333333333333,10.0,2.6666666666666665,16.766666666666666,0.3333333333333333,0.0,0.0,0,1,0,0
52,30,1,1.0,1.0,2.4,1.9,70.0,13,19.0,6.0,18.7,2.0,1.0,1.0,2018-01-01,1,4,16,6,1.0,3.0,9.666666666666666,2.333333333333333,16.599999999999998,0.3333333333333333,0.0,0.0,0,0,1,0
53,0,0,1.0,0.0,1.1,0.4,62.0,12,8.0,2.0,13.9,0.0,0.0,0.0,2019-01-01,0,14,14,6,0.6666666666666666,2.333333333333333,12.0,2.6666666666666665,17.866666666666667,1.0,0.3333333333333333,0.3333333333333333,0,0,0,1
54,22,0,1.0,3.0,1.0,2.5,48.0,13,9.0,3.0,19.0,1.0,0.0,0.0,2019-01-01,0,11,17,5,0.6666666666666666,1.3333333333333333,11.0,3.0,15.833333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,1,0,0
